No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
131, 0.10 ,M,Matheus Nunes,MCI, 4.9 , 12.00 , 0.039 , 0.47 ,97%, 0.38 , 0.43 , 0.51 , 0.47 , 0.60 , 0.45 , 0.43 , 0.49 
132, 0.31 ,M,Rodri,MCI, 6.4 , 80.42 , 0.042 , 3.46 ,97%, 2.54 , 3.11 , 3.75 , 3.42 , 4.35 , 3.30 , 3.17 , 3.56 
133, 0.15 ,M,Doku,MCI, 6.5 , 43.00 , 0.051 , 2.21 ,97%, 1.77 , 1.99 , 2.40 , 2.19 , 2.78 , 2.11 , 2.03 , 2.28 
134, 0.08 ,M,Bobb,MCI, 4.8 , -   , 0.057 , 1.99 ,97%, -   , -   , -   , -   , -   , -   , -   , -   
135, 0.32 ,M,Foden,MCI, 9.3 , 64.40 , 0.068 , 4.59 ,97%, 2.82 , 4.13 , 4.99 , 4.54 , 5.78 , 4.39 , 4.22 , 4.73 
136, 0.39 ,M,De Bruyne,MCI, 9.6 , 72.06 , 0.072 , 5.14 ,97%, 4.27 , 4.62 , 5.58 , 5.08 , 6.47 , 4.91 , 4.72 , 5.29 
137, (1.00),M,0,MCI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
138, 0.49 ,M,Bruno Fernandes,MUN, 8.4 , 87.10 , 0.061 , 5.32 ,101%, 4.97 , 5.48 , 4.94 , 5.76 , 5.22 , 5.40 , 6.90 , 6.10 
139, (1.00),M,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
140, (1.00),M,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
141, 0.12 ,M,Eriksen,MUN, 5.4 , 26.25 , 0.043 , 0.74 ,101%, 1.82 , 1.43 , 0.68 , 0.80 , 0.72 , 0.75 , 0.95 , 0.84 
142, 0.14 ,M,Ugarte,MUN, 5.0 , 52.75 , 0.024 , 1.30 ,101%, 0.99 , 1.34 , 1.21 , 1.41 , 1.28 , 1.32 , 1.69 , 1.49 
143, 0.17 ,M,Casemiro,MUN, 5.0 , 51.62 , 0.034 , 1.87 ,101%, 1.27 , 1.92 , 1.73 , 2.02 , 1.83 , 1.89 , 2.42 , 2.14 
144, 0.20 ,M,Mainoo,MUN, 5.4 , 82.00 , 0.028 , 2.32 ,101%, 2.17 , 2.39 , 2.16 , 2.52 , 2.28 , 2.36 , 3.01 , 2.67 
145, 0.08 ,M,Antony,MUN, 5.8 , 8.00 , 0.049 , 0.39 ,101%, 0.36 , 0.40 , 0.36 , 0.42 , 0.38 , 0.39 , 0.50 , 0.45 
146, (1.00),M,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
